pHi	ratio
6.7	2.5438
6.7	2.8719
6.7	2.8406
6.7	2.9855
7.11	3.4907
7.11	3.3314
7.11	3.9433
7.11	3.6221
7.28	4.0591
7.28	3.9142
7.28	4.2114
7.28	3.7862
7.55	4.2657
7.55	4.5228
7.55	4.8103
7.55	4.4652
